[2025-07-25 14:46:35] INFO     Clean trade data (HS 010129, 2010, M)
[2025-07-25 14:46:57] INFO     📄 Found file: C:/Users/laptop-kl/OneDrive - Universiteit Leiden/PlasticTradeFlow/tradeflow/cml_trade/cml_unit_value/data_uncomtrade\split_by_hs_2010_numpy\H4_010129_2010.csv
[2025-07-25 14:46:57] INFO     🧹 Cleaning Summary:
[2025-07-25 14:46:57] INFO      - Initial rows: 113
[2025-07-25 14:46:57] INFO      - Valid country filter: 113 (100.00%)
[2025-07-25 14:46:57] INFO      - Valid trade value filter: 0 (0.00%)
[2025-07-25 14:46:57] INFO      - Valid kg-based UV rows: 0 (0.00%)
[2025-07-25 14:46:57] WARNING  ⚠️ Only 0 kg-based UV records (<200)
[2025-07-25 14:46:57] WARNING  ⚠️ No non-kg units found in qty rows.
[2025-07-25 14:46:57] INFO     ✅ Finished cleaning: HS 010129, Year 2010, Flow M
[2025-07-25 15:12:11] INFO     📄 Found file: C:/Users/laptop-kl/OneDrive - Universiteit Leiden/PlasticTradeFlow/tradeflow/cml_trade/cml_unit_value/data_uncomtrade\split_by_hs_2010_numpy\H4_010129_2010.csv
[2025-07-25 15:12:11] INFO     🧹 Cleaning Summary:
[2025-07-25 15:12:11] INFO      - Initial rows: 113
[2025-07-25 15:12:11] INFO      - Valid country filter: 113 (100.00%)
[2025-07-25 15:12:11] INFO      - Valid trade value filter: 0 (0.00%)
[2025-07-25 15:12:11] INFO      - Valid kg-based UV rows: 0 (0.00%)
[2025-07-25 15:12:11] WARNING  ⚠️ No non-kg units found in qty rows.
[2025-07-25 15:12:11] INFO     ✅ Finished cleaning: HS 010129, Year 2010, Flow M
[2025-07-25 15:13:53] INFO     📄 Found file: C:/Users/laptop-kl/OneDrive - Universiteit Leiden/PlasticTradeFlow/tradeflow/cml_trade/cml_unit_value/data_uncomtrade\split_by_hs_2010_numpy\H4_010129_2010.csv
[2025-07-25 15:17:25] INFO     📄 Found file: C:/Users/laptop-kl/OneDrive - Universiteit Leiden/PlasticTradeFlow/tradeflow/cml_trade/cml_unit_value/data_uncomtrade\split_by_hs_2010_numpy\H4_391590_2010.csv
[2025-07-25 15:17:25] INFO     🧹 Cleaning Summary:
[2025-07-25 15:17:25] INFO      - Initial rows: 12604
[2025-07-25 15:17:25] INFO      - Valid country filter: 11445 (90.80%)
[2025-07-25 15:17:25] INFO      - Valid trade value filter: 1298 (10.30%)
[2025-07-25 15:17:25] INFO      - Valid kg-based UV rows: 1206 (9.57%)
[2025-07-25 15:17:25] WARNING  ⚠️ No non-kg units found in qty rows.
[2025-07-25 15:17:25] INFO     ✅ Finished cleaning: HS 391590, Year 2010, Flow M
