hs_code,year,flow
010121,2010,m
010121,2010,x
010129,2010,m
010129,2010,x
010130,2010,m
010130,2010,x
010190,2010,m
010190,2010,x
010221,2010,m
010221,2010,x
010229,2010,m
010229,2010,x
010239,2010,m
010239,2010,x
010290,2010,m
010290,2010,x
010310,2010,m
010310,2010,x
010391,2010,m
010391,2010,x
010392,2010,m
010392,2010,x
010410,2010,m
010410,2010,x
010420,2010,m
010420,2010,x
010511,2010,m
010511,2010,x
010512,2010,m
010512,2010,x
010513,2010,m
010513,2010,x
010514,2010,m
010514,2010,x
010515,2010,m
010515,2010,x
010594,2010,m
010594,2010,x
010599,2010,m
010599,2010,x
010611,2010,m
010611,2010,x
010612,2010,m
010612,2010,x
010614,2010,m
010614,2010,x
010619,2010,m
010619,2010,x
010620,2010,m
010620,2010,x
010631,2010,m
010631,2010,x
010632,2010,m
010632,2010,x
010633,2010,m
010633,2010,x
010639,2010,m
010639,2010,x
010649,2010,m
010649,2010,x
010690,2010,m
010690,2010,x
020110,2010,m
020110,2010,x
020120,2010,m
020120,2010,x
020130,2010,m
020130,2010,x
020210,2010,m
020210,2010,x
020220,2010,m
020220,2010,x
020230,2010,m
020230,2010,x
020311,2010,m
020311,2010,x
020312,2010,m
020312,2010,x
020319,2010,m
020319,2010,x
020321,2010,m
020321,2010,x
020322,2010,m
020322,2010,x
020329,2010,m
020329,2010,x
020410,2010,m
020410,2010,x
020421,2010,m
020421,2010,x
020422,2010,m
020422,2010,x
020423,2010,m
020423,2010,x
020430,2010,m
020430,2010,x
020441,2010,m
020441,2010,x
020442,2010,m
020442,2010,x
020443,2010,m
020443,2010,x
020450,2010,m
020450,2010,x
020500,2010,m
020500,2010,x
020610,2010,m
020610,2010,x
020621,2010,m
020621,2010,x
020622,2010,m
020622,2010,x
020629,2010,m
020629,2010,x
020630,2010,m
020630,2010,x
020641,2010,m
020641,2010,x
020649,2010,m
020649,2010,x
020680,2010,m
020680,2010,x
020690,2010,m
020690,2010,x
020711,2010,m
020711,2010,x
020712,2010,m
020712,2010,x
020713,2010,m
020713,2010,x
020714,2010,m
020714,2010,x
020724,2010,m
020724,2010,x
020725,2010,m
020725,2010,x
020726,2010,m
020726,2010,x
020727,2010,m
020727,2010,x
020741,2010,m
020741,2010,x
020742,2010,m
020742,2010,x
020743,2010,m
020743,2010,x
020744,2010,m
020744,2010,x
020745,2010,m
020745,2010,x
020752,2010,m
020752,2010,x
020753,2010,m
020753,2010,x
020755,2010,m
020755,2010,x
020760,2010,m
020760,2010,x
020810,2010,m
020810,2010,x
020830,2010,m
020830,2010,x
020840,2010,m
020840,2010,x
020850,2010,m
020850,2010,x
020890,2010,m
020890,2010,x
020910,2010,m
020910,2010,x
020990,2010,m
020990,2010,x
021011,2010,m
021011,2010,x
021012,2010,m
021012,2010,x
021019,2010,m
021019,2010,x
021020,2010,m
021020,2010,x
021091,2010,m
021091,2010,x
021092,2010,m
021092,2010,x
021093,2010,m
021093,2010,x
021099,2010,m
021099,2010,x
030111,2010,m
030111,2010,x
030119,2010,m
030119,2010,x
030191,2010,m
030191,2010,x
030192,2010,m
030192,2010,x
030193,2010,m
030193,2010,x
030194,2010,m
030194,2010,x
030195,2010,m
030195,2010,x
030199,2010,m
030199,2010,x
030211,2010,m
030211,2010,x
030213,2010,m
030213,2010,x
030214,2010,m
030214,2010,x
030219,2010,m
030219,2010,x
030221,2010,m
030221,2010,x
030222,2010,m
030222,2010,x
030223,2010,m
030223,2010,x
030229,2010,m
030229,2010,x
030231,2010,m
030231,2010,x
030232,2010,m
030232,2010,x
030233,2010,m
030233,2010,x
030234,2010,m
030234,2010,x
030235,2010,m
030235,2010,x
030236,2010,m
030236,2010,x
030239,2010,m
030239,2010,x
030241,2010,m
030241,2010,x
030242,2010,m
030242,2010,x
030243,2010,m
030243,2010,x
030244,2010,m
030244,2010,x
030245,2010,m
030245,2010,x
030247,2010,m
030247,2010,x
030251,2010,m
030251,2010,x
030252,2010,m
030252,2010,x
030253,2010,m
030253,2010,x
030254,2010,m
030254,2010,x
030274,2010,m
030274,2010,x
030281,2010,m
030281,2010,x
030284,2010,m
030284,2010,x
030285,2010,m
030285,2010,x
030289,2010,m
030289,2010,x
030290,2010,m
030290,2010,x
030311,2010,m
030311,2010,x
030312,2010,m
030312,2010,x
030313,2010,m
030313,2010,x
030314,2010,m
030314,2010,x
030319,2010,m
030319,2010,x
030323,2010,m
030323,2010,x
030324,2010,m
030324,2010,x
030326,2010,m
030326,2010,x
030329,2010,m
030329,2010,x
030331,2010,m
030331,2010,x
030332,2010,m
030332,2010,x
030333,2010,m
030333,2010,x
030339,2010,m
030339,2010,x
030341,2010,m
030341,2010,x
030342,2010,m
030342,2010,x
030343,2010,m
030343,2010,x
030344,2010,m
030344,2010,x
030345,2010,m
030345,2010,x
030346,2010,m
030346,2010,x
030349,2010,m
030349,2010,x
030351,2010,m
030351,2010,x
030353,2010,m
030353,2010,x
030354,2010,m
030354,2010,x
030355,2010,m
030355,2010,x
030357,2010,m
030357,2010,x
030363,2010,m
030363,2010,x
030366,2010,m
030366,2010,x
030369,2010,m
030369,2010,x
030381,2010,m
030381,2010,x
030383,2010,m
030383,2010,x
030384,2010,m
030384,2010,x
030389,2010,m
030389,2010,x
030390,2010,m
030390,2010,x
030432,2010,m
030432,2010,x
030433,2010,m
030433,2010,x
030439,2010,m
030439,2010,x
030441,2010,m
030441,2010,x
030442,2010,m
030442,2010,x
030444,2010,m
030444,2010,x
030445,2010,m
030445,2010,x
030446,2010,m
030446,2010,x
030449,2010,m
030449,2010,x
030454,2010,m
030454,2010,x
030459,2010,m
030459,2010,x
030461,2010,m
030461,2010,x
030462,2010,m
030462,2010,x
030471,2010,m
030471,2010,x
030473,2010,m
030473,2010,x
030474,2010,m
030474,2010,x
030475,2010,m
030475,2010,x
030481,2010,m
030481,2010,x
030482,2010,m
030482,2010,x
030483,2010,m
030483,2010,x
030484,2010,m
030484,2010,x
030485,2010,m
030485,2010,x
030486,2010,m
030486,2010,x
030487,2010,m
030487,2010,x
030489,2010,m
030489,2010,x
