hs_code,year,flow
251990,2010,m
251990,2010,x
252010,2010,m
252010,2010,x
252020,2010,m
252020,2010,x
252100,2010,m
252100,2010,x
252210,2010,m
252210,2010,x
252220,2010,m
252220,2010,x
252230,2010,m
252230,2010,x
252310,2010,m
252310,2010,x
252321,2010,m
252321,2010,x
252329,2010,m
252329,2010,x
252330,2010,m
252330,2010,x
252390,2010,m
252390,2010,x
252410,2010,m
252410,2010,x
252490,2010,m
252490,2010,x
252510,2010,m
252510,2010,x
252520,2010,m
252520,2010,x
252530,2010,m
252530,2010,x
252610,2010,m
252610,2010,x
252620,2010,m
252620,2010,x
252800,2010,m
252800,2010,x
252910,2010,m
252910,2010,x
252921,2010,m
252921,2010,x
252922,2010,m
252922,2010,x
252930,2010,m
252930,2010,x
253010,2010,m
253010,2010,x
253020,2010,m
253020,2010,x
253090,2010,m
253090,2010,x
260111,2010,m
260111,2010,x
260112,2010,m
260112,2010,x
260120,2010,m
260120,2010,x
260200,2010,m
260200,2010,x
260300,2010,m
260300,2010,x
260400,2010,m
260400,2010,x
260500,2010,m
260500,2010,x
260600,2010,m
260600,2010,x
